,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,Genre Ids,Genre Names,Company Ids,Company Names
0,Jurassic World,208806270.0,652270625.0,32%,4274.0,48855.0,2015-06-12,3.0,2015.0,Jurassic World (2015),Summer,150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",135397,tt0369610,en,Jurassic World,32.790475,"[{'name': 'Universal Studios', 'id': 13}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Fuji Television Network', 'id': 3341}, {'name': 'Dentsu', 'id': 6452}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-06-09 00:00:00,1513528810,124.0,Jurassic World,6.5,8842.0,28,Action,13,Universal Studios
1,The Avengers,207438708.0,623357910.0,33.3%,4349.0,47698.0,2012-05-04,2.0,2012.0,The Avengers (2012),Spring,220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,tt0848228,en,The Avengers,89.887648,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Marvel Studios', 'id': 420}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-25 00:00:00,1519557910,143.0,The Avengers,7.4,12000.0,878,Science Fiction,4,Paramount Pictures
2,Avengers: Age of Ultron,191271109.0,459005868.0,41.7%,4276.0,44731.0,2015-05-01,2.0,2015.0,Avengers: Age of Ultron (2015),Spring,280000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",99861,tt2395427,en,Avengers: Age of Ultron,37.37942,"[{'name': 'Marvel Studios', 'id': 420}, {'name': 'Prime Focus', 'id': 15357}, {'name': 'Revolution Sun Studios', 'id': 76043}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-04-22 00:00:00,1405403694,141.0,Avengers: Age of Ultron,7.3,6908.0,28,Action,420,Marvel Studios
3,Captain America: Civil War,179139142.0,408084349.0,43.9%,4226.0,42389.0,2016-05-06,2.0,2016.0,Captain America: Civil War (2016),Spring,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",271110,tt3498820,en,Captain America: Civil War,145.882135,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Marvel Studios', 'id': 420}, {'name': 'Walt Disney Studios Motion Pictures', 'id': 3036}, {'name': 'Vita-Ray Dutch Productions (III)', 'id': 84424}, {'name': 'Deluxe Digital Studios', 'id': 84425}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-04-27 00:00:00,1153304495,147.0,Captain America: Civil War,7.1,7462.0,12,Adventure,264,Studio Babelsberg
4,Beauty and the Beast,174750616.0,504014165.0,34.7%,4210.0,41508.0,2017-03-17,2.0,2017.0,Beauty and the Beast (2017),Spring,160000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",321612,tt2771200,en,Beauty and the Beast,287.253654,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Mandeville Films', 'id': 10227}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-03-16 00:00:00,1262886337,129.0,Beauty and the Beast,6.8,5530.0,10751,Family,2,Walt Disney Pictures
5,Iron Man 3,174144585.0,409013994.0,42.6%,4253.0,40946.0,2013-05-03,2.0,2013.0,Iron Man 3 (2013),Spring,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",68721,tt1300854,en,Iron Man 3,23.721243,"[{'name': 'Marvel Studios', 'id': 420}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-04-18 00:00:00,1215439994,130.0,Iron Man 3,6.8,8951.0,28,Action,420,Marvel Studios
6,Harry Potter and the Deathly Hallows: Part 2,169189427.0,381011219.0,44.4%,4375.0,38671.0,2011-07-15,3.0,2011.0,Harry Potter and the Deathly Hallows: Part 2 (2011),Summer,125000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",12445,tt1201607,en,Harry Potter and the Deathly Hallows: Part 2,24.990737,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-07-07 00:00:00,1342000000,130.0,Harry Potter and the Deathly Hallows: Part 2,7.9,6141.0,10751,Family,6194,Warner Bros.
7,Batman v Superman: Dawn of Justice,166007347.0,330360194.0,50.2%,4242.0,39134.0,2016-03-25,2.0,2016.0,Batman v Superman: Dawn of Justice (2016),Spring,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",209112,tt2975590,en,Batman v Superman: Dawn of Justice,31.435879,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Cruel & Unusual Films', 'id': 9995}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-03-23 00:00:00,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7189.0,28,Action,429,DC Comics
8,The Dark Knight Rises,160887295.0,448139099.0,35.9%,4404.0,36532.0,2012-07-20,3.0,2012.0,The Dark Knight Rises (2012),Summer,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",49026,tt1345836,en,The Dark Knight Rises,20.58258,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-07-16 00:00:00,1084939099,165.0,The Dark Knight Rises,7.6,9263.0,28,Action,923,Legendary Pictures
9,The Dark Knight,158411483.0,533345358.0,29.7%,4366.0,36282.0,2008-07-18,3.0,2008.0,The Dark Knight (2008),Summer,185000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155,tt0468569,en,The Dark Knight,123.167259,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-07-16 00:00:00,1004558444,152.0,The Dark Knight,8.3,12269.0,18,Drama,429,DC Comics
