,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name
0,Avengers: Endgame,357115007,858373000,41.6%,4662,76601,2019-04-26,2,2019,Avengers: Endgame (2019),Spring
1,Avengers: Infinity War,257698183,678815482,38%,4474,57599,2018-04-27,2,2018,Avengers: Infinity War (2018),Spring
2,Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5%,4134,59982,2015-12-18,1,2015,Star Wars: Episode VII - The Force Awakens (2015),Winter
3,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5%,4232,51987,2017-12-15,1,2017,Star Wars: Episode VIII - The Last Jedi (2017),Winter
4,Jurassic World,208806270,652270625,32%,4274,48855,2015-06-12,3,2015,Jurassic World (2015),Summer
5,The Avengers,207438708,623357910,33.3%,4349,47698,2012-05-04,2,2012,The Avengers (2012),Spring
6,Black Panther,202003951,700059566,28.9%,4020,50249,2018-02-16,1,2018,Black Panther (2018),Winter
7,The Lion King,191770759,543638043,35.3%,4725,40586,2019-07-19,3,2019,The Lion King (2019),Summer
8,Avengers: Age of Ultron,191271109,459005868,41.7%,4276,44731,2015-05-01,2,2015,Avengers: Age of Ultron (2015),Spring
9,The Incredibles 2,182687905,608581744,30%,4410,41425,2018-06-15,3,2018,The Incredibles 2 (2018),Summer
10,Captain America: Civil War,179139142,408084349,43.9%,4226,42389,2016-05-06,2,2016,Captain America: Civil War (2016),Spring
11,Star Wars: The Rise of Skywalker,177383864,515202542,34.4%,4406,40259,2019-12-20,1,2019,Star Wars: The Rise of Skywalker (2019),Winter
12,Beauty and the Beast,174750616,504014165,34.7%,4210,41508,2017-03-17,2,2017,Beauty and the Beast (2017),Spring
13,Iron Man 3,174144585,409013994,42.6%,4253,40946,2013-05-03,2,2013,Iron Man 3 (2013),Spring
14,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4%,4375,38671,2011-07-15,3,2011,Harry Potter and the Deathly Hallows: Part 2 (2011),Summer
